# LiB3O5 / LBO (dispersive) -- principal refractive index
# source: C. Chen, Y. Wu, A. Jiang, B. Wu, G. You, R. Li, S. Lin. New nonlinear-optical crystal: LiB3O5. J. Opt. Soc. Am. B 6, 616-621 (1989); dispersion formula from F. Hanson and D. Dick, Opt. Lett. 16, 205-207 (1991).
# doi: 10.1364/JOSAB.6.000616   conditions: room temperature
# validity: 0.2894-1.064 um
# via refractiveindex.info database (CC0): LiB3O5/nk/Chen-alpha.yml, LiB3O5/nk/Chen-beta.yml, LiB3O5/nk/Chen-gamma.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 1.1e-06
wavelength_um,nx,ny,nz
0.4154,1.5883327,1.6184415,1.632893
0.4164,1.5882091,1.618302,1.6327476
0.4174,1.5880865,1.6181633,1.6326034
0.4184,1.5879649,1.6180256,1.6324604
0.4194,1.5878444,1.6178888,1.6323185
0.4204,1.5877248,1.6177529,1.6321777
0.4214,1.5876063,1.6176179,1.6320381
0.4224,1.5874887,1.6174838,1.6318996
0.4234,1.5873722,1.6173505,1.6317622
0.4244,1.5872565,1.6172181,1.6316259
0.4254,1.5871419,1.6170866,1.6314906
0.4264,1.5870281,1.6169559,1.6313565
0.4274,1.5869153,1.6168261,1.6312233
0.4284,1.5868034,1.6166971,1.6310913
0.4294,1.5866924,1.6165689,1.6309602
0.4304,1.5865823,1.6164416,1.6308301
0.4314,1.5864731,1.6163151,1.6307011
0.4324,1.5863648,1.6161894,1.6305731
0.4334,1.5862573,1.6160644,1.630446
0.4344,1.5861506,1.6159403,1.6303199
0.4354,1.5860449,1.615817,1.6301948
0.4364,1.5859399,1.6156945,1.6300706
0.4374,1.5858358,1.6155727,1.6299474
0.4384,1.5857325,1.6154517,1.629825
0.4394,1.58563,1.6153315,1.6297036
0.4404,1.5855282,1.615212,1.6295832
0.4414,1.5854273,1.6150932,1.6294636
0.4424,1.5853272,1.6149752,1.6293449
0.4434,1.5852278,1.614858,1.6292271
0.4444,1.5851292,1.6147415,1.6291101
0.4454,1.5850313,1.6146257,1.628994
0.4464,1.5849342,1.6145106,1.6288788
0.4474,1.5848378,1.6143962,1.6287644
0.4484,1.5847421,1.6142825,1.6286509
0.4494,1.5846471,1.6141696,1.6285381
0.4504,1.5845529,1.6140573,1.6284262
0.4514,1.5844594,1.6139457,1.6283151
0.4524,1.5843665,1.6138348,1.6282048
0.4534,1.5842744,1.6137246,1.6280953
0.4544,1.5841829,1.613615,1.6279865
0.4554,1.5840921,1.6135061,1.6278786
0.4564,1.584002,1.6133979,1.6277714
0.4574,1.5839125,1.6132903,1.6276649
0.4584,1.5838237,1.6131834,1.6275592
0.4594,1.5837355,1.6130771,1.6274543
0.4604,1.583648,1.6129714,1.6273501
0.4614,1.583561,1.6128664,1.6272466
0.4624,1.5834747,1.612762,1.6271438
0.4634,1.5833891,1.6126583,1.6270418
0.4644,1.583304,1.6125551,1.6269404
0.4654,1.5832195,1.6124526,1.6268398
0.4664,1.5831357,1.6123506,1.6267398
0.4674,1.5830524,1.6122493,1.6266405
0.4684,1.5829697,1.6121486,1.6265419
0.4694,1.5828876,1.6120485,1.626444
0.4704,1.5828061,1.6119489,1.6263467
0.4714,1.5827251,1.6118499,1.6262501
0.4724,1.5826447,1.6117516,1.6261541
0.4734,1.5825648,1.6116537,1.6260588
0.4744,1.5824855,1.6115565,1.6259641
0.4754,1.5824068,1.6114598,1.6258701
0.4764,1.5823286,1.6113637,1.6257767
0.4774,1.5822509,1.6112681,1.6256839
0.4784,1.5821737,1.6111731,1.6255917
0.4794,1.5820971,1.6110787,1.6255001
0.4804,1.5820209,1.6109847,1.6254091
0.4814,1.5819453,1.6108914,1.6253187
0.4824,1.5818702,1.6107985,1.6252289
0.4834,1.5817956,1.6107062,1.6251396
0.4844,1.5817215,1.6106144,1.625051
0.4854,1.5816479,1.6105231,1.6249629
0.4864,1.5815748,1.6104324,1.6248754
0.4874,1.5815021,1.6103421,1.6247885
0.4884,1.5814299,1.6102524,1.6247021
0.4894,1.5813582,1.6101632,1.6246162
0.4904,1.581287,1.6100744,1.6245309
0.4914,1.5812162,1.6099862,1.6244462
0.4924,1.5811459,1.6098985,1.6243619
0.4934,1.581076,1.6098112,1.6242782
0.4944,1.5810066,1.6097245,1.6241951
0.4954,1.5809376,1.6096382,1.6241124
0.4964,1.5808691,1.6095524,1.6240303
0.4974,1.580801,1.6094671,1.6239486
0.4984,1.5807334,1.6093822,1.6238675
0.4994,1.5806661,1.6092978,1.6237869
0.5004,1.5805993,1.6092139,1.6237068
0.5014,1.5805329,1.6091304,1.6236271
0.5024,1.5804669,1.6090474,1.623548
0.5034,1.5804014,1.6089649,1.6234693
0.5044,1.5803362,1.6088828,1.6233911
0.5054,1.5802715,1.6088011,1.6233134
0.5064,1.5802071,1.6087199,1.6232361
0.5074,1.5801431,1.6086391,1.6231594
0.5084,1.5800796,1.6085588,1.623083
0.5094,1.5800164,1.6084789,1.6230072
0.5104,1.5799536,1.6083994,1.6229317
0.5114,1.5798912,1.6083204,1.6228568
0.5124,1.5798292,1.6082418,1.6227822
0.5134,1.5797675,1.6081636,1.6227082
0.5144,1.5797062,1.6080858,1.6226345
0.5154,1.5796453,1.6080084,1.6225613
0.5164,1.5795847,1.6079314,1.6224885
0.5174,1.5795245,1.6078549,1.6224161
0.5184,1.5794647,1.6077787,1.6223442
0.5194,1.5794052,1.607703,1.6222726
0.5204,1.5793461,1.6076276,1.6222015
0.5214,1.5792873,1.6075527,1.6221308
0.5224,1.5792288,1.6074781,1.6220605
0.5234,1.5791707,1.6074039,1.6219906
0.5244,1.5791129,1.6073302,1.6219211
0.5254,1.5790555,1.6072568,1.621852
0.5264,1.5789984,1.6071837,1.6217832
0.5274,1.5789416,1.6071111,1.6217149
0.5284,1.5788852,1.6070388,1.6216469
0.5294,1.5788291,1.6069669,1.6215794
0.5304,1.5787733,1.6068954,1.6215122
0.5314,1.5787178,1.6068243,1.6214454
0.5324,1.5786626,1.6067535,1.6213789
0.5334,1.5786077,1.6066831,1.6213128
0.5344,1.5785532,1.606613,1.6212471
0.5354,1.5784989,1.6065433,1.6211818
0.5364,1.578445,1.6064739,1.6211168
0.5374,1.5783913,1.6064049,1.6210522
0.5384,1.578338,1.6063363,1.6209879
0.5394,1.5782849,1.606268,1.6209239
0.5404,1.5782322,1.6062,1.6208603
0.5414,1.5781797,1.6061324,1.6207971
0.5424,1.5781275,1.6060651,1.6207342
0.5434,1.5780756,1.6059981,1.6206716
0.5444,1.578024,1.6059315,1.6206094
0.5454,1.5779727,1.6058653,1.6205475
