# TaAs (dispersive) -- principal refractive index and extinction coefficient
# source: R. Zu, M. Gu, L. Min, C. Hu, N. Ni, Z. Mao, J. M. Rondinelli, V. Gopalan. Comprehensive anisotropic linear optical properties of the Weyl semimetals TaAs and NbAs. Phys. Rev. B 103, 165137 (2021).
# doi: 10.1103/PhysRevB.103.165137   conditions: spectroscopic ellipsometry, room temperature, Lorentz model of Eq. 1
# validity: 0.2066-1.0332 um (the measured window, 1.2-6 eV)
# Lorentz-oscillator model of Eq. 1 with the INFRARED POLE TAKEN NEGATIVE -- the printed plus disagrees with the paper's own Fig. 1 and with the exported case-study registry; see benchmarks/generate_dispersion_tables.py
# generated by benchmarks/generate_dispersion_tables.py
wavelength_um,no,ne,ko,ke
0.3046,2.635622,2.7485785,2.3326673,2.4760035
0.3056,2.6411553,2.7588829,2.3283947,2.4673141
0.3066,2.6459636,2.7683601,2.3244344,2.4585107
0.3076,2.650163,2.7770277,2.3209147,2.4496761
0.3086,2.653888,2.7849122,2.3179262,2.4408868
0.3096,2.6572801,2.7920484,2.3155231,2.4322123
0.3106,2.6604796,2.7984769,2.3137263,2.4237142
0.3116,2.6636181,2.8042435,2.3125282,2.4154459
0.3126,2.6668156,2.8093968,2.3118982,2.4074526
0.3136,2.6701775,2.8139877,2.3117875,2.3997717
0.3146,2.6737941,2.8180677,2.3121332,2.3924327
0.3156,2.6777403,2.8216878,2.3128621,2.3854582
0.3166,2.6820759,2.8248981,2.3138933,2.3788642
0.3176,2.6868457,2.827747,2.3151403,2.3726608
0.3186,2.6920803,2.8302802,2.3165129,2.3668533
0.3196,2.6977955,2.832541,2.3179189,2.3614422
0.3206,2.703993,2.8345699,2.3192652,2.3564245
0.3216,2.7106599,2.8364041,2.3204601,2.3517939
0.3226,2.717769,2.8380778,2.3214147,2.3475417
0.3236,2.7252787,2.8396221,2.3220453,2.343657
0.3246,2.7331337,2.8410654,2.3222755,2.3401275
0.3256,2.7412661,2.8424328,2.3220386,2.3369395
0.3266,2.7495967,2.8437469,2.3212804,2.3340786
0.3276,2.7580374,2.8450279,2.3199608,2.33153
0.3286,2.7664939,2.8462934,2.318056,2.3292784
0.3296,2.7748688,2.8475588,2.3155596,2.3273085
0.3306,2.7830654,2.8488379,2.3124831,2.3256052
0.3316,2.7909911,2.8501421,2.3088551,2.3241535
0.3326,2.7985611,2.8514816,2.3047204,2.3229388
0.3336,2.8057016,2.8528649,2.3001375,2.3219469
0.3346,2.8123517,2.8542993,2.295176,2.3211642
0.3356,2.8184653,2.8557907,2.2899132,2.3205775
0.3366,2.824012,2.8573441,2.2844308,2.3201741
0.3376,2.8289766,2.8589635,2.2788113,2.3199422
0.3386,2.8333584,2.8606522,2.2731353,2.3198702
0.3396,2.8371696,2.8624126,2.2674784,2.3199473
0.3406,2.8404337,2.8642464,2.2619098,2.3201632
0.3416,2.8431828,2.866155,2.2564904,2.3205083
0.3426,2.8454558,2.8681391,2.2512722,2.3209734
0.3436,2.8472959,2.870199,2.2462979,2.3215499
0.3446,2.8487492,2.8723347,2.2416013,2.3222296
0.3456,2.8498625,2.8745458,2.2372074,2.3230051
0.3466,2.8506822,2.8768317,2.2331337,2.3238691
0.3476,2.8512531,2.8791914,2.2293904,2.3248151
0.3486,2.8516177,2.8816241,2.2259818,2.3258366
0.3496,2.8518153,2.8841283,2.2229074,2.326928
0.3506,2.8518823,2.8867028,2.2201622,2.3280836
0.3516,2.8518515,2.8893461,2.217738,2.3292985
0.3526,2.8517522,2.8920566,2.2156243,2.3305679
0.3536,2.8516104,2.8948326,2.2138084,2.3318873
0.3546,2.8514489,2.8976725,2.2122766,2.3332526
0.3556,2.8512874,2.9005746,2.211014,2.3346601
0.3566,2.851143,2.903537,2.2100056,2.336106
0.3576,2.8510301,2.9065579,2.2092361,2.3375872
0.3586,2.8509609,2.9096357,2.2086903,2.3391005
0.3596,2.8509455,2.9127684,2.2083532,2.3406431
0.3606,2.8509922,2.9159544,2.2082106,2.3422124
0.3616,2.8511079,2.9191917,2.2082484,2.3438059
0.3626,2.8512979,2.9224788,2.2084534,2.3454215
0.3636,2.8515663,2.9258137,2.2088129,2.3470571
0.3646,2.8519163,2.9291949,2.209315,2.3487108
0.3656,2.8523502,2.9326207,2.2099484,2.3503809
0.3666,2.8528692,2.9360893,2.2107025,2.3520658
0.3676,2.8534744,2.9395993,2.2115674,2.3537641
0.3686,2.8541658,2.9431491,2.2125337,2.3554746
0.3696,2.8549434,2.9467371,2.2135928,2.357196
0.3706,2.8558065,2.9503619,2.2147366,2.3589274
0.3716,2.8567542,2.954022,2.2159574,2.3606679
0.3726,2.8577852,2.957716,2.2172484,2.3624166
0.3736,2.8588983,2.9614427,2.218603,2.3641729
0.3746,2.8600918,2.9652007,2.2200151,2.3659363
0.3756,2.8613639,2.9689889,2.221479,2.3677061
0.3766,2.8627129,2.972806,2.2229897,2.3694822
0.3776,2.8641369,2.9766509,2.2245421,2.3712641
0.3786,2.8656338,2.9805226,2.2261318,2.3730517
0.3796,2.8672017,2.98442,2.2277547,2.3748448
0.3806,2.8688385,2.9883423,2.2294068,2.3766436
0.3816,2.8705422,2.9922886,2.2310846,2.378448
0.3826,2.8723107,2.9962581,2.2327846,2.3802581
0.3836,2.874142,3.00025,2.2345039,2.3820743
0.3846,2.876034,3.0042637,2.2362396,2.3838968
0.3856,2.8779847,3.0082987,2.237989,2.385726
0.3866,2.8799922,3.0123544,2.2397495,2.3875624
0.3876,2.8820545,3.0164304,2.241519,2.3894065
0.3886,2.8841696,3.0205264,2.2432953,2.3912588
0.3896,2.8863358,3.0246423,2.2450764,2.3931202
0.3906,2.8885511,3.028778,2.2468605,2.3949912
0.3916,2.8908137,3.0329333,2.2486458,2.3968728
0.3926,2.8931219,3.0371086,2.2504309,2.3987658
0.3936,2.895474,3.041304,2.2522142,2.4006712
0.3946,2.8978683,3.04552,2.2539944,2.4025899
0.3956,2.9003031,3.0497572,2.2557701,2.404523
0.3966,2.9027768,3.0540162,2.2575404,2.4064716
0.3976,2.905288,3.058298,2.259304,2.4084369
0.3986,2.907835,3.0626037,2.26106,2.4104199
0.3996,2.9104164,3.0669346,2.2628074,2.412422
0.4006,2.9130307,3.0712922,2.2645454,2.4144444
0.4016,2.9156767,3.0756784,2.2662732,2.4164883
0.4026,2.9183528,3.0800952,2.2679901,2.4185549
0.4036,2.9210577,3.0845449,2.2696953,2.4206454
0.4046,2.9237903,3.0890302,2.2713883,2.4227609
0.4056,2.9265492,3.093554,2.2730684,2.4249026
0.4066,2.9293332,3.0981198,2.2747353,2.4270713
0.4076,2.9321411,3.1027311,2.2763883,2.4292678
0.4086,2.9349718,3.1073922,2.278027,2.4314928
0.4096,2.9378242,3.1121076,2.2796511,2.4337467
0.4106,2.9406971,3.1168822,2.2812601,2.4360294
0.4116,2.9435895,3.1217216,2.2828537,2.4383407
0.4126,2.9465004,3.1266316,2.2844317,2.4406798
0.4136,2.9494288,3.1316187,2.2859937,2.4430453
0.4146,2.9523736,3.1366898,2.2875395,2.4454355
0.4156,2.955334,3.1418522,2.2890689,2.4478474
0.4166,2.958309,3.1471136,2.2905818,2.4502775
0.4176,2.9612977,3.1524822,2.2920778,2.4527212
0.4186,2.9642993,3.1579665,2.2935569,2.4551727
0.4196,2.9673129,3.1635749,2.295019,2.4576247
0.4206,2.9703376,3.1693162,2.296464,2.4600688
0.4216,2.9733726,3.1751987,2.2978917,2.4624945
0.4226,2.9764173,3.1812304,2.2993021,2.4648899
0.4236,2.9794708,3.1874188,2.3006951,2.4672411
0.4246,2.9825323,3.19377,2.3020707,2.469532
0.4256,2.9856012,3.2002889,2.3034289,2.4717449
0.4266,2.9886767,3.2069786,2.3047697,2.4738597
0.4276,2.9917582,3.2138395,2.3060931,2.4758548
0.4286,2.9948449,3.2208694,2.3073991,2.4777069
0.4296,2.9979363,3.2280626,2.3086877,2.4793915
0.4306,3.0010318,3.2354096,2.3099589,2.4808835
0.4316,3.0041306,3.2428968,2.3112129,2.4821575
0.4326,3.0072322,3.2505058,2.3124497,2.4831893
0.4336,3.0103361,3.2582139,2.3136693,2.4839559
0.4346,3.0134415,3.2659938,2.3148718,2.4844373
0.4356,3.0165481,3.2738139,2.3160574,2.484617
0.4366,3.0196553,3.2816392,2.317226,2.4844833
0.4376,3.0227625,3.2894321,2.3183779,2.4840298
0.4386,3.0258692,3.2971532,2.3195132,2.4832563
0.4396,3.0289749,3.304763,2.3206319,2.4821692
0.4406,3.0320792,3.3122228,2.3217341,2.4807813
0.4416,3.0351816,3.3194965,2.3228201,2.4791119
0.4426,3.0382816,3.3265515,2.3238899,2.4771859
0.4436,3.0413788,3.33336,2.3249437,2.475033
0.4446,3.0444727,3.3398998,2.3259817,2.4726864
0.4456,3.047563,3.3461545,2.3270039,2.4701821
