# LiNbO3 (dispersive) -- principal refractive index
# source: D. E. Zelmon, D. L. Small, D. Jundt. Infrared corrected Sellmeier coefficients for congruently grown lithium niobate and 5 mol.% magnesium oxide-doped lithium niobate. J. Opt. Soc. Am. B 14, 3319-3322 (1997).
# doi: 10.1364/JOSAB.14.003319   conditions: congruently grown LiNbO3, 21 C
# validity: 0.4-5 um
# via refractiveindex.info database (CC0): LiNbO3/nk/Zelmon-o.yml, LiNbO3/nk/Zelmon-e.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 2.2e-06
wavelength_um,no,ne
0.583,2.3018672,2.2153858
0.584,2.3015129,2.2150834
0.585,2.3011607,2.2147826
0.586,2.3008106,2.2144837
0.587,2.3004626,2.2141864
0.588,2.3001166,2.2138909
0.589,2.2997726,2.2135971
0.59,2.2994306,2.213305
0.591,2.2990906,2.2130146
0.592,2.2987526,2.2127259
0.593,2.2984165,2.2124388
0.594,2.2980824,2.2121533
0.595,2.2977502,2.2118695
0.596,2.2974199,2.2115873
0.597,2.2970914,2.2113067
0.598,2.2967649,2.2110277
0.599,2.2964402,2.2107502
0.6,2.2961174,2.2104744
0.602,2.2954772,2.2099272
0.604,2.2948442,2.2093862
0.606,2.2942183,2.2088512
0.608,2.2935993,2.2083221
0.61,2.2929872,2.2077988
0.612,2.2923819,2.2072812
0.614,2.2917832,2.2067693
0.616,2.291191,2.2062629
0.618,2.2906053,2.205762
0.62,2.2900259,2.2052664
0.622,2.2894527,2.2047761
0.624,2.2888857,2.2042911
0.626,2.2883247,2.2038111
0.628,2.2877697,2.2033363
0.63,2.2872206,2.2028664
0.632,2.2866772,2.2024014
0.634,2.2861395,2.2019412
0.636,2.2856074,2.2014858
0.638,2.2850808,2.201035
0.64,2.2845596,2.2005889
0.642,2.2840438,2.2001473
0.644,2.2835333,2.1997102
0.646,2.283028,2.1992776
0.648,2.2825278,2.1988492
0.65,2.2820326,2.1984252
0.652,2.2815424,2.1980054
0.654,2.2810571,2.1975897
0.656,2.2805766,2.1971782
0.658,2.2801009,2.1967707
0.66,2.2796299,2.1963671
0.662,2.2791635,2.1959676
0.664,2.2787017,2.1955719
0.666,2.2782443,2.19518
0.668,2.2777914,2.1947918
0.67,2.2773429,2.1944074
0.672,2.2768986,2.1940267
0.674,2.2764586,2.1936496
0.676,2.2760228,2.193276
0.678,2.2755911,2.192906
0.68,2.2751635,2.1925394
0.682,2.2747399,2.1921762
0.684,2.2743203,2.1918164
0.686,2.2739045,2.19146
0.688,2.2734927,2.1911068
0.69,2.2730846,2.1907568
0.692,2.2726803,2.1904101
0.694,2.2722796,2.1900665
0.696,2.2718827,2.189726
0.698,2.2714893,2.1893886
0.7,2.2710995,2.1890542
0.702,2.2707131,2.1887228
0.704,2.2703303,2.1883943
0.706,2.2699508,2.1880688
0.708,2.2695748,2.1877461
0.71,2.269202,2.1874263
0.712,2.2688326,2.1871093
0.714,2.2684663,2.186795
0.716,2.2681033,2.1864835
0.718,2.2677435,2.1861746
0.72,2.2673867,2.1858684
0.722,2.267033,2.1855649
0.724,2.2666824,2.1852639
0.726,2.2663347,2.1849655
0.728,2.2659901,2.1846696
0.73,2.2656483,2.1843762
0.732,2.2653094,2.1840852
0.734,2.2649734,2.1837967
0.736,2.2646402,2.1835107
0.738,2.2643098,2.1832269
0.74,2.2639821,2.1829456
0.742,2.2636571,2.1826665
0.744,2.2633348,2.1823897
0.746,2.2630152,2.1821152
0.748,2.2626981,2.1818429
0.75,2.2623837,2.1815728
0.752,2.2620718,2.1813049
0.754,2.2617624,2.1810392
0.756,2.2614555,2.1807755
0.758,2.261151,2.180514
0.76,2.260849,2.1802545
0.762,2.2605494,2.1799971
0.764,2.2602521,2.1797418
0.766,2.2599572,2.1794884
0.768,2.2596646,2.179237
0.77,2.2593743,2.1789875
0.772,2.2590862,2.17874
0.774,2.2588004,2.1784944
0.776,2.2585168,2.1782507
0.778,2.2582353,2.1780088
0.78,2.257956,2.1777688
0.782,2.2576789,2.1775306
0.784,2.2574038,2.1772943
0.786,2.2571308,2.1770596
0.788,2.2568599,2.1768268
0.79,2.256591,2.1765957
0.792,2.2563242,2.1763663
0.794,2.2560593,2.1761386
0.796,2.2557964,2.1759126
0.798,2.2555354,2.1756883
0.8,2.2552763,2.1754656
0.802,2.2550191,2.1752445
0.804,2.2547638,2.175025
0.806,2.2545104,2.1748071
0.808,2.2542588,2.1745908
0.81,2.254009,2.1743761
0.812,2.253761,2.1741628
0.814,2.2535148,2.1739511
0.816,2.2532703,2.1737409
0.818,2.2530276,2.1735322
0.82,2.2527865,2.173325
0.822,2.2525472,2.1731192
0.824,2.2523096,2.1729148
0.826,2.2520736,2.1727119
0.828,2.2518392,2.1725104
0.83,2.2516065,2.1723102
0.832,2.2513753,2.1721115
0.834,2.2511458,2.1719141
0.836,2.2509178,2.171718
0.838,2.2506914,2.1715233
0.84,2.2504665,2.1713299
0.842,2.2502432,2.1711378
0.844,2.2500213,2.170947
0.846,2.249801,2.1707574
0.848,2.2495821,2.1705692
0.85,2.2493646,2.1703822
0.852,2.2491486,2.1701964
0.854,2.2489341,2.1700118
0.856,2.2487209,2.1698285
0.858,2.2485091,2.1696463
0.86,2.2482987,2.1694653
0.862,2.2480897,2.1692855
0.864,2.247882,2.1691069
0.866,2.2476757,2.1689294
0.868,2.2474707,2.1687531
0.87,2.247267,2.1685779
0.872,2.2470646,2.1684037
0.874,2.2468635,2.1682307
0.876,2.2466636,2.1680588
0.878,2.246465,2.167888
0.88,2.2462677,2.1677182
0.882,2.2460716,2.1675495
0.884,2.2458767,2.1673818
0.886,2.245683,2.1672152
0.888,2.2454905,2.1670496
0.89,2.2452992,2.166885
0.892,2.245109,2.1667214
0.894,2.2449201,2.1665588
0.896,2.2447322,2.1663972
0.898,2.2445455,2.1662366
0.9,2.2443599,2.166077
0.902,2.2441755,2.1659183
0.904,2.2439921,2.1657605
0.906,2.2438098,2.1656037
0.908,2.2436286,2.1654478
0.91,2.2434485,2.1652928
0.912,2.2432694,2.1651387
0.914,2.2430914,2.1649856
0.916,2.2429144,2.1648333
0.918,2.2427384,2.1646819
0.92,2.2425635,2.1645314
0.922,2.2423895,2.1643818
0.924,2.2422166,2.164233
0.926,2.2420446,2.164085
